entity:hprc_y1_sample_id	01_cohort	01_family_id	01_maternal_id	01_paternal_id	01_sex	01_sex_char	01_sex_is_male	01_source_ccs	01_subpopulation	01_superpopulation	02_dipcall_bed	02_dipcall_normed_filtered_10_tbi	02_dipcall_normed_filtered_10_vcf	02_dipcall_normed_filtered_20_tbi	02_dipcall_normed_filtered_20_vcf	02_dipcall_normed_filtered_30_tbi	02_dipcall_normed_filtered_30_vcf	02_dipcall_normed_filtered_40_tbi	02_dipcall_normed_filtered_40_vcf	02_dipcall_normed_filtered_50_tbi	02_dipcall_normed_filtered_50_vcf	02_dipcall_normed_filtered_tbi	02_dipcall_normed_filtered_vcf	02_dipcall_tbi	02_dipcall_vcf	02_truth_hap_mat	02_truth_hap_mat_vs_grch38_bai	02_truth_hap_mat_vs_grch38_bam	02_truth_hap_pat	02_truth_hap_pat_vs_grch38_bai	02_truth_hap_pat_vs_grch38_bam
HG002	HPRC_PLUS	3140	HG004	HG003	male	M	true	["gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/UW_supplement/m54329U_201103_231616.ccs.bam","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/UW_supplement/m64076_201013_225902.ccs.bam","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/UW_supplement/m64076_201016_191536.ccs.bam","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180901_011437.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180902_013549.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180903_015530.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180904_021549.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180907_170406.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180908_172515.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180909_174539.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180910_180559.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180913_181445.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180914_183539.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180915_185611.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180916_191625.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180919_165326.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180920_171425.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180921_173448.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180922_175520.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180925_225123.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180926_231301.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54238_180927_233325.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54328_180921_232856.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54328_180922_235017.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54328_180924_001027.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54328_180925_003051.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54328_180926_222309.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54328_180927_224427.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54328_180928_230446.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54328_180929_232524.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54329_180924_222717.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54329_180925_224838.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54329_180926_230856.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54329_180927_232921.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54334_180924_221206.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54334_180925_223328.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54334_180926_225337.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54334_180927_231334.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54335_180924_221150.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54335_180925_223313.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54335_180926_225328.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m54335_180927_231344.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m64002_190803_004553.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m64002_190804_135352.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m64004_190803_004451.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m64012_190920_173625.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m64012_190921_234837.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m64015_190920_185703.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/15kb/m64015_190922_010918.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/19kb/m64011_190714_120746.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/19kb/m64011_190728_111204.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/20kb/m64011_190830_220126.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/20kb/m64011_190901_095311.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/25kb/m64011_190712_225711.Q20.fastq","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/raw_data/PacBio_HiFi/25kb/m64011_190726_220327.Q20.fastq"]			gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/deae189c-61cb-4961-8e79-0519584e0243/runDipcall/64a1b7ee-4a93-4679-9bd9-073d22e03dd4/call-dipcall/glob-6a71e0052edde14f09e7720a93686506/HG002.f1_assembly_v2_genbank.dipcall.bed	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_10.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_10.vcf.gz	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_20.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_20.vcf.gz	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_30.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_30.vcf.gz	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_40.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_40.vcf.gz	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_50.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/0c4d1ba7-306d-4223-b938-0ea653befac1/FilterDipcall/c271dda1-db92-4ebb-885b-729ae02ae235/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_50.vcf.gz	["gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/d3aa3de9-0dc4-4185-ad3d-a5a3f1c2a330/FilterDipcall/4f9a62ab-2ef1-4895-8695-064d0c0ffd18/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_0.vcf.gz.tbi"]	["gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/d3aa3de9-0dc4-4185-ad3d-a5a3f1c2a330/FilterDipcall/4f9a62ab-2ef1-4895-8695-064d0c0ffd18/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_0.vcf.gz"]	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/deae189c-61cb-4961-8e79-0519584e0243/runDipcall/64a1b7ee-4a93-4679-9bd9-073d22e03dd4/call-dipcall/glob-332db99c3f30fbc7a2e19b00a18477dc/HG002.f1_assembly_v2_genbank.dipcall.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/deae189c-61cb-4961-8e79-0519584e0243/runDipcall/64a1b7ee-4a93-4679-9bd9-073d22e03dd4/call-dipcall/glob-5b09b846642a9bb3e1843523e167602a/HG002.f1_assembly_v2_genbank.dipcall.vcf.gz	gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.maternal.f1_assembly_v2_genbank.fa.gz	gs://fc-bb12940d-f7ba-4515-8a98-42de84f63c34/submissions/3c8ce068-12e3-4fb9-8b5f-8dcd02286461/minimap2/6e9c029c-fa0a-4c16-9b74-5b80a906a561/call-alignAndSortBAM/alignment.bam.bai	gs://fc-bb12940d-f7ba-4515-8a98-42de84f63c34/submissions/3c8ce068-12e3-4fb9-8b5f-8dcd02286461/minimap2/6e9c029c-fa0a-4c16-9b74-5b80a906a561/call-alignAndSortBAM/alignment.bam	gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/HG002.paternal.f1_assembly_v2_genbank.fa.gz	gs://fc-bb12940d-f7ba-4515-8a98-42de84f63c34/submissions/cb60cf83-0131-4fd5-831f-d7af94132e79/minimap2/e0850980-793b-407e-bb94-034715ee6ccd/call-alignAndSortBAM/alignment.bam.bai	gs://fc-bb12940d-f7ba-4515-8a98-42de84f63c34/submissions/cb60cf83-0131-4fd5-831f-d7af94132e79/minimap2/e0850980-793b-407e-bb94-034715ee6ccd/call-alignAndSortBAM/alignment.bam
HG00438	HPRC	SH012	HG00437	HG00436	female	F	false	["gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00438/raw_data/PacBio_HiFi/m64043_200710_174426.ccs.bam","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00438/raw_data/PacBio_HiFi/m64043_200711_235708.ccs.bam","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00438/raw_data/PacBio_HiFi/m64043_200713_062240.ccs.bam","gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00438/raw_data/PacBio_HiFi/m64043_200714_124814.ccs.bam"]	CHS	EAS	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/2c71fc26-3878-4e83-8648-a95e9a3c7e93/runDipcall/944b82fa-99ef-483e-a32e-51c29843d16a/call-dipcall/glob-6a71e0052edde14f09e7720a93686506/HG00438.f1_assembly_v2_genbank.dipcall.bed	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_10.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_10.vcf.gz	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_20.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_20.vcf.gz	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_30.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_30.vcf.gz	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_40.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_40.vcf.gz	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_50.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/f4daa1b6-26d0-4556-8075-5ae055b2195d/FilterDipcall/a729652b-4c44-46dc-bb67-7d55335a8ff9/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_50.vcf.gz	["gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/1e19a19c-2d9d-43bf-ab98-d6e0fde747e8/FilterDipcall/d0217868-82b6-4133-9fb1-2a86f705abd0/call-FilterDipcallImpl/glob-547b05917d9d22dd8121fa0302280f84/dipcall_0.vcf.gz.tbi"]	["gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/1e19a19c-2d9d-43bf-ab98-d6e0fde747e8/FilterDipcall/d0217868-82b6-4133-9fb1-2a86f705abd0/call-FilterDipcallImpl/glob-72fea42209c8d6477d033158b9fbd9cf/dipcall_0.vcf.gz"]	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/2c71fc26-3878-4e83-8648-a95e9a3c7e93/runDipcall/944b82fa-99ef-483e-a32e-51c29843d16a/call-dipcall/glob-332db99c3f30fbc7a2e19b00a18477dc/HG00438.f1_assembly_v2_genbank.dipcall.vcf.gz.tbi	gs://fc-a90ab401-9c4b-43d1-b891-f0410c667ff2/submissions/2c71fc26-3878-4e83-8648-a95e9a3c7e93/runDipcall/944b82fa-99ef-483e-a32e-51c29843d16a/call-dipcall/glob-5b09b846642a9bb3e1843523e167602a/HG00438.f1_assembly_v2_genbank.dipcall.vcf.gz	gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.maternal.f1_assembly_v2_genbank.fa.gz	gs://fc-bb12940d-f7ba-4515-8a98-42de84f63c34/submissions/3c8ce068-12e3-4fb9-8b5f-8dcd02286461/minimap2/613a6cfe-dc74-4e72-8882-fb1ebb0d736f/call-alignAndSortBAM/alignment.bam.bai	gs://fc-bb12940d-f7ba-4515-8a98-42de84f63c34/submissions/3c8ce068-12e3-4fb9-8b5f-8dcd02286461/minimap2/613a6cfe-dc74-4e72-8882-fb1ebb0d736f/call-alignAndSortBAM/alignment.bam	gs://fc-4310e737-a388-4a10-8c9e-babe06aaf0cf/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/HG00438.paternal.f1_assembly_v2_genbank.fa.gz	gs://fc-bb12940d-f7ba-4515-8a98-42de84f63c34/submissions/cb60cf83-0131-4fd5-831f-d7af94132e79/minimap2/9b66858a-6012-4e32-97c7-f9082912e6e1/call-alignAndSortBAM/alignment.bam.bai	gs://fc-bb12940d-f7ba-4515-8a98-42de84f63c34/submissions/cb60cf83-0131-4fd5-831f-d7af94132e79/minimap2/9b66858a-6012-4e32-97c7-f9082912e6e1/call-alignAndSortBAM/alignment.bam
